aekgvangq 雅量 
ciepsoengq 接送
ciepsouh 接受
cietsaed 切实
cigsiu 直销
cikgok 曲尺
cimdoiq 针对
cimgiuj 针灸
cimyawj 注视；盯
cinjhaeuj 准入
cinjhawj 准许
cinjseiz 准时
cingcaz 清查
cingcawz 清除
cingdiemj 清点
cinggemj 精减
cinglig 精力
cingmaed 精密
cingsenj 精选
cingzbonj 成本
cingzcik 成绩
cingzdiuh 情调
cingzfaenh 情份
cingzgamj 情感
cingzngeih 情义
cingzyauq 成效
cingzyienz 情缘
cingjbien 整编
cingjboed  井喷 
cingjcoih 整修
cingjdaej 整体
cingjgaij 整改
cingjhab 整合
cingjleix 整理
cingjnyienh 请愿
cingqbaiq 正派
cingqbanj 正版
cingqciengz 正常
cingqdaez 正题
cingqdangq 正当
cingqlumj 正如
cingqngamj 正好
cingqnieb 正业
ciubaiz 招牌
ciubanh 招办
ciubiu 招标
ciugaep 超级
ciugoeng 招工
ciuseng 招生
ciusou 招收
ciuhai 召开
ciuzlouz 潮流
ciuqbuen 照搬
ciuqciengz 照常
ciuqgoq 照顾
ciuqleix 照理
ciuhgeq 古代
ciuhneix 现代
cobouh 初步
cocat 粗糙
cogaep 初级
cogauj 初稿
cogeiz 初期
co'nyauq （质量）粗劣
cosaemj 初审
cohgyaj 假名
coengfap 宗法
coengzbaiq 崇拜
coengzmbaeu 从轻
coengznieb 从业
coengzyiemz 从严
coibanh 催办
coicaenh 促进
coisawj 促使
coiseng 催生
coihbouj 修补
coihcingq 修正
coihdingh 修订
coihgaij 修改
coihhengz 罪行
coihmingz 罪名
coihnaj 整容
comzcienz 集资
comzduenqbingh 会诊
comzgyonj 汇聚；聚拢
comzrom 聚积
comzsanq 聚散
comzyouq 聚居
conxcawz 铲除
congzvih 床位
conghlaep 黑洞 
couyiengh 抽样
couzcienz 筹款
couzcomz 筹集
couhnieb 就业
cuengqcienz 放款
cuengqco 出租
cuengqda 放眼
cuengqlangh 开放
cuengqmenh 放慢
cuengqndwi 闲置
cuengqsim 放心
cuengqvah 放话
cugciemh 逐渐
cuggaep 逐级
cughaed 束缚
cukgaeuq 足够
cukhoh 祝贺
cuknet 夯实
cukngeg 足额
cuknyienh 祝愿
cukseng 畜生
cunzyouz 巡游
cungciengzgeiz 中长期
cungcuk 充足
cungdaengj 中等
cungdienh 充电
cungdoengh 冲动
cungdongj 冲击
cungduenh 中断
cungfaen 充分
cunggaep 中级
cunggeiz 中期
cunggemj 冲减
cunglaeb 中立
cungzfuk 重复
cungzsaemj 重审
cungzyienj 重演
cungjdaej 总体
cungjliengh 总量
cungjloih 种类
cungjngeg 总额
cwdangj 遮挡
cwgoemq 盖；遮盖；覆盖
cwmuenz ①隐瞒。②遮藏；隐藏。
cwx 野生
cwkbwh 储备
cwkrom 积累
cwkyinh 储运
cwkyo 储藏
cwngcomz 征集
cwngdieg 征地
cwngguenj 征管
cwngnab 征纳
cwngsou 征收
dagaeb 短视
damengz 瞎眼
dazyinx 指引
dajbau 打包
dajcang ①打扮。②梳妆。
dajcauh 打造
dajci 打车
dajciengj 奖励
dajcim 打针
dajduenh 打断
dajgai 卖东西；出售
dajgauj 起草
dajgauq ①起诉。②诉讼。
dajgiep 打劫；抢劫
dajgyaj 打假
dajndaem 种植
dajnyumx 染
dajsaeg 洗涤
dajsan 编织
dajyaenq 打印
dajyungz 打溶；打烂
dahmaeuqranz 宅女
dabsaed 踏实
dadbaenz 达成
daezaeu 提取
daezfap 提法
daezfuengz 提防
daezgaep 提级
daezgam 提押
daezgung 提供
daezgyau 提交
daezhingz 题型
daezhuq 提货
daezlienh 提炼
daezlouz 提留
daezmingz 提名
daezmoeg 题目
daezok 提出
daezsang 提高 
daezsaw 题字
daezsij 题写
daezswng 提升
daejap 抵押
daejcaeq 抵制
daejhaiz 鞋底
daejliengh 体谅
daejniemh 体验
daejsienq 底线
daejsoq 底数
daejyienh 体现
daehnaeng 皮囊
daehngaenz 钱袋
daehsaw 书包
daehsoengq 运送
daehyinh 运输
daebdong 堆积
daegbied 特别
daegdaengq 特地
daegdiemj 特点
daegmaeuqranz 宅男
daekcaiz 德才
daemdengj 挫折
daemjrok 织布
daenz 囤积
daenzcang 库存
daenznaek 重压
daenggeiq 登记
daengloeg 登录 
daeng'yaenq 登印
daengzhoih 到会
daengzvih 到位
daengj 竖立；耸立
daengjfaenh 等份
daengjgaep 等级
daengjgyaq 等价
daengjliengh 等量
daengjndaej 等于
daengjngeg 等额
daengjsik 等式
daengjsoh 直立
daengxcungq ①全体；全部。②大众；公众。
daengqdak 托付；嘱托
daengqhawj 遗赠 
daeuq 透彻
daeuqcei 透支
daeuhfouhhaeu 臭豆腐
daicaeux 夭折
dailix 死活
daindaek 死机
daiuengj 冤死
daizheiq 舞台
daizsijsaw 写字台
daiqdaeuz 带头
daiqdoengh 带动
daiqdoih 带队
daiqlingx 带领
daihbaj 大把；很多
daihbanh 大办
daihbauq 大炮
daihbingz 太平
daihbuenz 大盘
daihcaeq 大祭祀
daihcaiz 大财
daihcangq 大葬（人葬后，不再捡骨头）
daihciengq 大将
daihcunghingz 大中型
daihdaej 大体
daihdaih 极大
daihdamj 大胆
daihdieg 大地
daihding 大厅
daihdoengz 大同
daihfap 大法
daihfueng 大方
daihgang 大纲
daihgeiq 大计
daihhag 大学
daihhagseng 大学生
daihhaij 大海
daihhauh 大号
daihhek 待客
daihhengz 大行
daihhingz 大型
daihhoh 大庆
daihhoenx 大战
daihleix 代理
daihlienzhab 大联合
daihloih 大类
daihluenh 大乱
daihndei 大好
daihngeg 大额
daihnieb 大业
daihvuengz 大王
dakbaengh 依托
dakciengx 托养
dakguenj 托管
dam'aeu 贪心
damcaiz 贪财
damcienz 贪钱
damdoz 贪图
damleih 贪利
damzbuenq 谈判
damzlwnh 谈论
damzsim 谈心
damzvah 谈话
damjcik 胆识
damjgamj 胆敢
damjliengh 胆量
damqcaek 探测
damqcam ①探查。②探访；探问。
damqdauj 探讨
damqgouz 探求
damqgvangq 探矿
damqmingz 探明
damqok 探出
damqra ①探索；探寻。②勘探。
damhdingh 淡定
dan 摊；分
danbaij 摊派
dancanj 单产
dancienz 单传
dandiuh 单调
dandog 单独
dan'gyaq 单价
danlingx 提单
dangban 当班
dangbi 当年
dangcai 当差
dangdaih 当代
dangdieg 当地
dangdingz 当庭
danggeiz 即期（消费）
danggienz 当权
dangguh 当作；当做
dangsaeh 当事
dangseiz 当时
dangyienz 当然
dangjgeiz 党旗
dangjlingz 党龄
dangjsim 党心
dangjsingq 党性
dangqbiuq 当票
dangqmaz 很；十分
danghnaeuz 如果；假如；比如；假使；倘若
dauqsaw 丛书
dawzcoih 问罪
demqgaj 伏杀
deu 凿雕
diegdingz 泊位
diegnaengh 座位
diegraiq 滩涂
diegsaedniemh 实验区 
diemjaeu 选取
diemjhaenh 点赞
dienfaenh 禀赋 
dienhrumz 风电
diengzhong 作坊 
dingznieb 停业
dingzyouq 滞留
dingzyungh 停用
dingjcengj 支撑
dingjlawh 代替
dingqaeu 听取
diuqfoux 跳舞
dozfaiq 纺纱
doxcung 勾兑
doxgyaux 混合 
doxyaeng 商讨
doekndwi 泡汤
doengzhenj 黄铜
doengzsim 同心
doengxhaemh 夜晚
doiqfaenh 退伙
doiqsuk 退缩
donghcungdienh 充电桩
dungxbwn 黑心
dungxgyoet 胃寒
dungxhengh 腿肚子 
dwglau 恐怖
eicoengz 依从
eifap 依法
euqvang 抬杠 
faekcam 质询
faenboiq 分配
faensoq 分数
fanhoiz 翻译
fanjcozyung 反作用
fanjgauq 反诉
fapceih 法治
fapdienj 法典
fapdingz 法庭
fatbouh 发布
fatdienh 发电
fatdienhliengh 发电量
fatdiep 发帖
fathengz 发行
fathoengh 兴盛
fatleih 孳息
fatmingz 发明
fatndang 发育
fuengrin 石方
fuengzcug 家族
fuengzgaij 房改
fuengzsaedniemh 实验室 
gaebcienz 拘传 
gaemdawz 秉持
gaemmiz 存量
gaemhhaenq 高压
gaendiep 跟帖
gaenriengz 跟随
gaenjgiet 紧缺
gaenjmaed 紧密
gagbanh 私营
gaggauq 自诉
gagguenj 自治
gaghaed 自律
gaghag ①自学。②自习。
gaglaeb 自立
gagliengh 自量
gagnyienh 自认
gagsaenq 自信
gaiqcanggyaeuj 头饰
gaiqdap 载体
gaiqfukcauh 复制品
gamleix 监理
gangjgouz 诉求
gangjsaeng 水黾 
gatciemq 割据
gaujcoihgaij 修改稿
gaujfwngzsij 手稿
gaujsoengqsaemj 送审稿
gauq 控告
gauqceng 诉争 
gehhoengq 空隙
geiqhauh 记号
geiqvaiq 速记
gekhoengq 空格
geujheux 纠缠
gizdoekdin 落脚点
gizhwnjdin 出发点 
gizsoucienz 收银台；收款处
gizyawz 其余
gienzcaephengz 执行权
gienzcingjgouz 请求权
gienzdaihleix 代理权
gienzgamhoh 监护权
gienzgauq 诉权 
gienzguenj 管辖权
gienzgyaepboiz 追偿权
gienzheuhboiz 索赔权
gienzmingzdaeuz 名誉权
gienzraemx 水权
gienzsaemjbuenq 审判权
gienzsawjyungh 使用权
gienzsenjgij 选举权
gienzsiengq 肖像权
gienzsojmiz 所有权
gienzsug 权属
gienqnaeuz 训诫
giklix 激活
gimqdoeg 禁毒
ginglig 经历
gingniemh 经验
gingjdiemj 景点
gingjsaek 景色
gingjsiengq 景象
gingqcingj 敬请
gingqgyaez 敬爱
gingqhoh 庆贺
gingqlaux 敬老
gingqnaek 敬重
gingqnieb 敬业
giuzdiet 铁球
giuzhingz 球形
giuzrin 石桥
golaeb 孤立
gomiuz 禾苗
gojbeij 寓言
gojgaeq 故事
goqdaez 课题
goqdaengz 顾及
goekbingh 病根
goekbyai 本末
goekdiuhdaeuz 总基调
goekgaen 起源；根由；来由
goekmboq ①源泉。②源头。
goekngaenz 银根
goenhsoij 首饰
goeng'anq 公案
goengbanh 公办
goengbingz 公平 
goengbouh 公布
goengcaiq 公债
goengcienz 工钱
goengciengz 工场
goengcingq 公正
goengdaej 功底
goengdoi 公推 
goeng'eiq 公意 
goengfou 功夫
goenggauq 公告
goenggeiz 工期
goengguek 公国
goenggungh 公共
goenghai 公开
goenghaih 公害
goengheij 恭喜
goenghoh 恭贺
goeng'ik 公益
goeng'ingj 公映 
goenglaeb 公立
goengloh 公路
goenglohgengz 膀爷 
goengminz 公民
goengnaengz 功能
goengngeix 公议 
goengnieb 功业
goengnyinh 公认
goengrengz ①力气。②精力。
goengsaeh 公事
goengsaenq 公信
goengsaenqlig 公信力
goengsenj 公选 
goengsik 公式
goengsim 公心 
goengyungh 公用
goetganq 骨干
goksat 响亮
gotumj 拥抱
gouzcaen 求真
gouzhag 求学
gouzra 求索
gouzsaed 求实
gouqbang 救助
gouqcai 救灾
gouqgungz 扶贫
gouqhaen 救济
gouqmingh 救命
gouqyw 救治
gujdaemq 低估
guh'angq ①作乐。②娱乐。
guhbaenz 搞掂；搞定 
guhbaenz 完成
guhcingq 作证
guhdoj 赌博
guhdoih 做伴
guhhong 做工
guhndawlaep 暗箱操作
guhndumj 潜规则 
guhnyib 缝纫
guhsaeg 洗衣物
guhvunz 为人
guhyaeuh 欺诈
guhyak 为非作歹
guhyiengh 做秀
guekcaiq 国债
guekcingz 国情
guekcoj 祖国
guekgeq 古国
guekgiengz 强国
guekgungz 穷国
guekgya 国家
guekgyaiq 国界
guekgyauq 国教
guekhauh 国号
gueklaeb 国立
gueklig 国力
guekmiz 国有
guekminz 国民
guekrog 国外
gueksaeh 国事
gueksuiq 国税
guekvuengz 国王
guekwnq 别国
guenbing 官兵
guenbonjvih 官本位
guenciengz 官场
guenfouj 官府
guenfueng 官方
guenndoq 裸官
guenraemxraiz 露水官
guenjbaizraemx 排水管
guenjgoq 照管
guenjgyauq 管教
guenjleix 管理
guenjsienq 管线
guenjyungh 管用
guengciengx 喂养
guengzbag 疯狂
guengzsiengj 狂想
guengjdaih 广大
gungbyoengq 攻破
gungciemq 攻占
gungciengx 供养
gungfuengz 攻防
gungganq 培养
gunggeng 攻坚
gunggouz 供求
gunghawj 供给；供应；提供
gunghoenx 攻击
gungroengz 攻克；攻下；攻陷
gungseiq 攻势
gung'wngq 供应
gungzcienh 贫贱
gungzfouq 贫富
gungzhoj 穷苦；穷困
gungzndoq 赤贫；贫寒
gungx 旮旯；角落
gungqsou 蟾蜍
gvaqbae 过去
gvaqbouh 过度；过分；过火；过甚
gvaqciengz 过场
gvaqdaeuj 过来
gvaqdoh 过渡
gvaqhwnz 过夜
gvaqmauh 过甚
gvaeghumx 包围；包抄
gvaengxluenz 圆圈
gvaenghgaq 框架
gvai 精明
gvaijgai 拐卖
gvangaj 关卡
gvanhaeh 关系
gvansim 关心
gvangqcawj 矿主
gvangqcingj 矿井
gvejgoenq 割断
gvendingz 关停
gvenhaep 关闭
gvenqlaeh 惯例
gvenqsug 熟练
gvidauq 回归；归回
gvidingh 规定
gvigiet 归结
gvi'gyoeb 归拢
gvi'gyonj 归总；归拢 
gvihaeuj 属于
gvihawj 归于
gvilwd 规律
gvinab 归纳
gvisug 归属
gvihdaengj 立柜
gvihngaenz 钱柜 
gwndoeg 吸毒
gwn'oet 受贿
gyacaiz 家财
gyadiemj 加点
gyadienh 家电
gyading 家丁
gyadingz 家庭
gyagemj 加减
gyagiengz 加强
gyagoengnieb 加工业
gya'gvangq ①扩大。②拓展；拓宽。
gya'gyaq 加价
gya'gyauq 家教
gyahaenq 加剧
gyahaeuj 加入 
gyahung 加大 
gyahwnj 加上
gyalaeg 深化；加深
gyalai ①加大。②增加。③增进。
gyamaed 加密
gyamaenh 巩固 
gyanaek 加重
gyaraez 延长
gyarengz 加劲
gyasei 家俱
gyasug 家属
gyavaiq 加快
gyayungh 家用
gyajcauh 假造；伪造
gyajciq 假借
gyajcuengq 假释
gyajdingh 假定
gyajgeiz 假期
gyajsiengj 假想
gyajsiengq 假象
gyajyaez 伪劣（产品）
gyaxgedged 孤零零
gyaqbenz 脚手架
gyaqmoeg 价目
gyaeraez 深远
gyaezguek 爱国
gyaezgyauq 爱教
gyaezhoh 爱护
gyaezmaij 爱好
gyaeqgim 金蛋
gyaen 打鼾
gyaeng 监禁 
gyaengraemx 蓄水
gyaepcaz 追究；追查
gyaepdauq 追回
gyaepfwngz 指甲
gyaepgaeb 追捕
gyaepgouz 追求
gyaephwnj 赶上
gyaepra 追寻
gyaepriz 追踪
gyaepriengz 追随
gyaepsou 追缴
gyaeujbyai ①末端；末梢。②末尾。
gyaeujviz 龟头
gyaijbak 借口
gyaiqbied 界别
gyaiqdingh 界定
gyaiqhanh 界限
gyaiqmienh 界面
gyaiqsienq 界线
gyan 鲸吞 
gyan'gyoeb 兼并；吞并 
gyangqdaemq 降低；下降
gyangqroengz 降下
gyauban 交班
gyaubanh 交办
gyauca 交叉
gyaucienz 交费；交钱
gyauciep 交接
gyaudaih 交代
gyaudamz 交谈
gyaudoeng 交通
gyauhawj 交付
gyaunab 交纳
gyauvuenh 交换
gyauxcab 混杂
gyauxluenh 搅乱
gyauqok 造就
gyauqvuengz 教皇
gyoeb 合计 
gyoebbaenz 合成
gyoebbien 汇编
gyoebcawx 并购
gyoebgeiq 总计
gyoebgyonj 汇总 
gyoebhab 综合 
gyoebyaem 合音
gyokdawz 套牢
gyokdawh 筷子筒
gyonjcomz 聚集
gyonjconz 归并；归拢
gyonjgyoeb 合并；汇集；汇聚
gyonjrom 蓄积
gyouzfaiq 棉桃
gyuemluemx 笼罩
gyumj 小坛子
habbanj 合拍
habcingz 合情
habdangq 适当
habdoh 适度
habdoengz 合同
habhoz 合意；满意
habngamj 合适
habseiz 合时；适时
hab'wngq 适应
habyungh 适用
haebdoih 窝里斗 
haebhenx 啃食
haedcaz 核查
haedcinj 核准
haeddingz 制止
haeddingh 核定
haeddoiq 核对
haedfwngzgim 金戒指
haedgemj 核减
haednaenx 抑制
haedndaet 勒紧
haedsaemj 核审
haedsim 核心
haedsiu 核销
haekfug 克服
haemzdai 痛恨
haemzhoj 苦难
haenh 表扬；赞美
haenhndei 称道
haengjdingh 肯定
haengjgyaez 喜欢；喜爱
haephangz 威胁
hakloet 政界显贵
hangzheu 跋扈 
hangzvah 术语
hauh'ok 标识
hawhoengh 牛市 
hawlaeuz 楼市
hawyaez 熊市
hawjgienz 授权
hawjnaj 给面子
hawjrengz 给力
heux 绕
hoizdauq 还原
hoizsoeng 缓解 
hoiq 仆役
hoiqciet 节奴 
hoiqlwg 孩奴 
hoiqnoz 家奴
hoiqranz  房奴
hoihdamz 会谈
hoihhoengh  盛会
hopluenz 圆周
hothoh 环节
huqgienz 物权
huqgyaq 物价
huqgyuek 污物
huquqlah 污染物
hukngawz 蒙昧无知
hwetgungj 驼背
hwkvunz 雷人 
hwnjgauq 起诉
ingjdeb 影碟
it rangh it loh 一带一路
lah 传染
laehgonq 先例
laengzhoenx 阻击 
laepda 瞑目
laeuzhwnjban 写字楼
laidij 增值
lamxdaej 兜底
leihlai 利多
leihminz 惠民
leihndei 利好 
leihndwi  利空 
lizsienq 离线
liebbyaij 巡回
lienzdaeng 连载
lienh 修练
lingxhau 白领
lingxlamz 蓝领
lingxmong 灰领 
linghloih 另类
lohgangh 裸体
loekbaenq 辘轳
lokhawj 赐予
luenhgangj 瞎掰；瞎诌
luenhlaih 诬赖
lwnhgangj 阐述；论述
majvaiq 速生
maeqfat 研发
maeuzleih 谋利
maeuzsiengj 图谋
maeuzveh 谋划
mai 标记
mauhcei 超支
mbanj 自然村
mbanjbya 山寨
mbawfei  发票
mbawsawdak 委托书
mbeilaux 斗胆 
mbiengjgai 售货方
mbiengjmbat 斜面
mboenndaq 吐糟 
mbongjmbwt 蜣螂
mbwncai 自然灾害
miznaj 自豪
midcungq  刺刀
mokfaenx 雾霾
muzhed 磨损
muzlienh 磨练
muzmied 磨灭
muenxfaen 满分
muengxlaengz 阻拦网 
najsiengq 颜值
naedsim 内核
naenghlauz 服刑
naicam 慰问
nauhluenh 骚乱
ndaemlaeg 厚植
ndaepsiu 注销
ndangdaenj 服饰
ndangvunz 人身
ndawsingz 市区
ndeiriu  可笑
ndeiyawj 养眼 
ndojgvaeh 避税
ndoengfwnzdanq 薪炭林
ndoksaen 脊柱；脊梁
ngaenzbau 钱包
ngaenzhong 薪酬
ngeizlumj 疑似
ngoemxgoep 无语 
ninzcaem  酣睡
nyiegdiemj 弱点
nywnghlaeng 滞后
okciengq 出征
okrengz 出力；效劳
okseiq 问世
raedcaiz 剪裁
raemxlae 活水
raengcawz 淘汰
raizban 瑕疵（玉）
ranz 府邸
ranzcocienh 廉租房
ranzdeq 期房 
ranzdiengz 棚户房
ranzgoengco 公租房
ranzhanhgyaq 限价房
ranzmbanj 家园
ranzngeihsouj 二手房
ranzyienh 现房
ranghnangq 累赘 
rengzcingq 正能量
rengzhaih 负能量
rengzhoengh 活力
rengzraemx 水力
rizgeq 遗迹 
rizsienq 线索
ringj 碗柜
roxgonq 先觉
roxsoq 教养
roxyiuj 心领神会 
roenseicouz 丝绸之路
roengzgangj 下岗
romringx 滚存 
rongzanq 窝案
rouxringx 翻滚
rouhcawx 赎买
rouhcoih 赎罪
rouhdauq 赎回
ruegrumz 干呕 
rumzrwix 歪风
rwenzdoengh 震动
salungz 沙龙
sajbaizciengz 耍排场
saehbienq 事变
saehbiengz 天下事
saehgienz 事权
saehhaeu 丑事
saehhoengh 盛事
saehhux 祸事；事故
saedcingq 实证
saedciu 实招
saedguh 务实；实干
saedhoenx 实战
saedhuq 实货
saedlaeh 实例
saedlig'unq 软实力
saednieb 实业
saedsim 实心
saedyauq 实效
saedyauqsingq 实效性
saek 堵塞
saekaeuj 紫色
saekheu 绿色
saemnyamj 萧条
saemjbae 审批
saemjbauq 审报
saemjbuenq 审判
saemjbuenqdingz 审判庭
saemjcaz 审查
saemjcam 审问
saemjcamguen 审问官
saemjciem 审签
saemjdoeg 审读
saemjgaep 审级
saemjhaed 审核
saemjhanh 审限
saemjleix 审理
saemjlwnh 审议
saemjsat 审结
saemjyawj ①审查；查看。②审视。
saenzgienz 神权
saenq 信赖
saenqdiuz 信条
saenqfangj 信访
saenqhwnj 振奋
saenqhwng 振兴
saenqngeih 信义
saenqsik 资讯
saetcaz 失察
saetdiuz 失调
saetgienz 失权
saethaed 失控
saethag 失学
saetleix 失理
saetleih 失利
saetnieb 失业
saetnieblwd 失业率
saeujcaz 搜查
saeujok 搜出
saeujra 搜索
saigyaeq 输卵管
saimok 输精管
sanqhoih 散会
sanqnyaih 瓦解；解体
satrieng 收官 
sawbeizhau 白皮书
sawbeizlamz 蓝皮书 
sawcingq 书证　
sawdauqngeix 回忆录
sawloih 词汇
sawyinx 引文
sawqcauh 试制
sawqniemh 试验
seicingz 爱情诗
seifap 私法 
seimiz 私有
seivunz 私人
seiyaem 隐私；阴私
seizsaeh 时事
seiqsug 世俗
sengbaenz 生成
senggei 生机
sengminghsienq 生命线
sengsau 处女
sengyauq 生效
sengjfaenh 省份
sengjgaep 省级
seuqcingh 清廉；廉洁
sisoq 赊账
sienqrog 外线
sienghaih 伤害；危害
siengjmuengh 愿景
simngahhaenh 虚荣心 
singmuengh 声望
singseiq 声势
singjsien 鲜活
siuanq  消案
soqcig 数值
soqdingh 定数
soqgawq 数据
soqgoek 基数 
soeknyieg 削弱
soemraeh 尖锐
soemhhaeuj 冒进
soengrungq 松弛
soengqlok 赠送
soengqsaemj 送审
son'gyauq 教导，教育
souanq 收案
soucawx 收买
soucwk 储存
souguenj 收管
sougvaeh 征税
suendajndaem 种植园 
suenqveh  务虚 
suenggvi 双规
suengyiengq 双向
sugheiq 俗气
sugsingq 属性
suiqhauh 税号
suiqlwd 税率 
suiqmoeg 税目
suiqnaek 重税
suiqngeg 税额
suksij 缩写
swzdoiq 辞退
swzhong 辞职
swiqngaenz 洗钱
swnggaep 升级
swnhca 顺差
swnhcanj 顺产
swnhseiq 顺势
swnghwnj 上升
uengjfap 枉法
ukmbieng 异端
vabien 花边
vasaek 花色
vaqgej 化解 
vaqndang 化身
vaqniemh 化验
vahbae 批语
vahbaihnaj 前言
vahciuhgeq 古语 
vahdiuqhauq 吊唁词；吊孝词 
vahgingqlaeuj 祝酒词
vahguhcingq 证词；证言
vahnduj 开头语；序言
vahsat 结束语
vahyinx 引言
vadgae 滑稽
vangjyieb 网页
vatbouj 挖补
vatcawz 挖除
vatdoeng 挖通
vehcienj 划转
vehdingh 划定
vehfaen 划分
venjbaiz 挂牌
venjngaeu 挂钩
vilig 威力
viyiemz 威严
vihcingq 正位
vihdaemq 低位
vihgonq 前位
vihhoengq 空位
vuenh'aeu 换取 
vuenhdaih 换代
vuenhfwngz 换手
vuenhgaiq 换届
vuenhmoq 换新
vuenhsuenq 换算
vuenhvih 换位
vuengzciuz 皇朝
vuengzlienz 黄莲
vuengzvih 皇位
vunzak 超人 
vunzbamz 傻子
vunzcaiz 人才
vunzcaiz 人财
vunzcauh 人造
vunzcauhmoq 创客 
vunzcungj 人种
vunzding 人丁
vunzgienz 人权
vunzgvai 聪明人
vunzgviq 贵人
vunzgyaeuj 人口
vunzlaet 蠢人；笨人
vunzlai 群众
vunzlaicoengh 公助 
vunzloet 巨人
vunzloih 人类
vunzmeg 人脉
vunzndaem 黑人
vunzranz 家人
vunzrog 外人
vunzrwix 坏人
vunzsenj 人选
vunzsoh 老实人
vunqhaiz 鞋模
vunqsik 模式
vutfwz 丢荒
vutgienz 弃权
vutmingh 牺牲
vutndek 丢掉
vutyungh 弃用
wngqbienq 应变
wngqcingz 应承
wngqcwng 应征
wngqdoiq 应对
wngqfouq 应付
wngqgauq 应诉 
wngqgip 应急
wngqiu 应邀
wngqyungh 应用
yaemcoh 匿名
yaemgoeng 阴功
yaemhoenz 阴魂
yaemliengh 音量
yaemmuenz 隐瞒
yaemsiengq 音像
